,name,value,open_value,market_cap(억원),market_cap_rank
718,신원,1450,1430,1233,코스피719위
719,TRUE 코스피 양매도 5% OTM ETN,8200,8170,1230,
720,디아이씨,3160,3200,1229,코스피721위
721,시디즈,60900,60100,1218,코스피722위
722,KODEX 은선물(H),5245,5250,1217,
723,대신 골드 커버드콜 타겟 5%인컴 ETN(H),12145,12145,1214,
724,극동유화,3475,3590,1212,코스피725위
725,S&TC,16100,16200,1209,코스피726위
726,미창석유,69400,77300,1207,코스피727위
727,CJ우,53400,54200,1207,코스피728위
728,동일고무벨트,8830,8860,1205,코스피729위
729,TIGER 200선물레버리지,19520,19140,1191,
730,신흥,12400,12500,1190,코스피731위
731,퍼스텍,2470,2415,1187,코스피732위
732,태경비케이,4300,4370,1186,코스피733위
733,미래에셋 코스피 양매도 5% OTM ETN,7865,7865,1180,
734,TIGER 200선물인버스2X,2230,2265,1166,
735,우리들휴브레인,2300,2335,1159,코스피736위
736,에넥스,1930,2030,1158,코스피737위
737,TIGER 경기방어,12115,12090,1153,
738,한국ANKOR유전,1645,1650,1152,
739,SG충방,2550,2480,1147,코스피740위
740,KBSTAR 중기우량회사채,105420,105450,1139,
741,KODEX 단기변동금리부채권액티브,102465,102465,1138,
742,한진중공업홀딩스,3845,3750,1135,코스피743위
743,기신정기,3885,3880,1134,코스피744위
744,대원전선,1595,1555,1133,코스피745위
745,삼호개발,4530,4600,1132,코스피746위
746,이지스밸류리츠,4715,4750,1132,
747,대양금속,3820,3865,1129,코스피748위
748,신한 레버리지 은 선물 ETN(H),11270,11315,1127,
749,현대코퍼레이션홀딩스,12350,12200,1124,코스피750위
750,이구산업,3350,3230,1120,코스피751위
751,경동도시가스,19000,18950,1120,코스피752위
752,KBSTAR 200TR,21090,20925,1118,
753,삼아알미늄,10150,10100,1116,코스피754위
754,TIGER 원유선물Enhanced(H),2905,2890,1111,
755,HANARO Fn K-뉴딜디지털플러스,12595,12595,1108,
756,한국석유,169000,181000,1107,코스피757위
757,광명전기,2555,2470,1107,코스피758위
758,텔코웨어,11400,11350,1106,코스피759위
759,영화금속,2070,2175,1105,코스피760위
760,새론오토모티브,5750,5850,1104,코스피761위
761,KODEX Fn성장,18385,18250,1103,
762,솔루스첨단소재1우,14900,14950,1098,코스피763위
763,STX,5560,5440,1097,코스피764위
764,인천도시가스,25000,25200,1094,코스피765위
765,웅진,1370,1225,1087,코스피766위
766,상상인증권,1125,1120,1081,코스피767위
767,KODEX 한국대만IT프리미어,19820,19900,1070,
768,엔케이,1335,1350,1068,코스피769위
769,한미글로벌,9740,9710,1067,코스피770위
770,조비,20550,20300,1067,코스피771위
771,세아특수강,12450,12400,1067,코스피772위
772,영흥,1120,1135,1060,코스피773위
773,세우글로벌,3680,3770,1056,코스피774위
774,대신증권2우B,10550,10500,1055,코스피775위
775,윌비스,1600,1615,1052,코스피776위
776,SH에너지화학,946,976,1051,코스피777위
777,센트럴인사이트,7730,7200,1050,코스피778위
778,KODEX 미국S&P500선물(H),18040,18005,1046,
779,덕양산업,3195,3295,1040,코스피780위
780,KODEX 차이나항셍테크,11005,10985,1040,
781,KC코트렐,7970,8090,1036,코스피782위
782,조흥,172500,173500,1035,코스피783위
783,TRUE 인버스 2X 천연가스 선물 ETN(H),20595,20305,1030,
784,KBSTAR 국고채3년선물인버스,99590,99585,1027,
785,신풍제지,2930,2910,1024,코스피786위
786,유니켐,1490,1460,1024,코스피787위
787,NI스틸,3575,3465,1022,코스피788위
788,KINDEX 삼성그룹섹터가중,15855,15825,1015,
789,세화아이엠씨,643,654,1013,코스피790위
790,우성사료,3270,3240,1010,코스피791위
791,세하,1750,1720,1007,코스피792위
792,콤텍시스템,1480,1490,1004,코스피793위
793,KBSTAR Fn5G테크,11130,10810,1002,
794,국보,2025,2045,1000,코스피795위
795,KODEX MSCI Korea,19995,19825,1000,
796,유유제약,12400,12650,996,코스피797위
797,TRUE 레버리지 나스닥 100 ETN,19795,19675,990,
798,TIGER 탄소효율그린뉴딜,9860,9760,986,
799,KTis,2815,2775,980,코스피800위
800,고려산업,3925,3950,979,코스피801위
801,이지스레지던스리츠,4750,4750,978,
802,대구백화점,9040,9250,978,코스피803위
803,KBSTAR 대형고배당10TR,16955,16785,975,
804,상신브레이크,4540,4390,975,코스피805위
805,한국특수형강,1830,1850,974,코스피806위
806,사조오양,10300,10200,971,코스피807위
807,TCC스틸,4210,4350,968,코스피808위
808,대유플러스,814,827,968,코스피809위
809,KODEX 중국본토CSI300,14620,14415,965,
810,이건산업,8780,8820,962,코스피811위
811,삼영화학,2820,2860,959,코스피812위
812,미래에셋맵스리츠,4745,4740,954,
813,대신 철광석 선물 ETN(H),47630,47275,953,
814,KC그린홀딩스,4245,4250,952,코스피815위
815,KBSTAR 단기국공채액티브,101880,101875,943,
816,TRUE 레버리지 S&P500 선물 ETN(H),18760,18635,938,
817,방림,2215,2025,937,코스피818위
818,대창단조,6540,6500,934,코스피819위
819,STX중공업,3290,3255,933,코스피820위
820,천일고속,64900,63800,928,코스피821위
821,우신시스템,5030,5100,921,코스피822위
822,태평양물산,1910,1920,920,코스피823위
823,신한 레버리지 천연가스 선물 ETN,4590,4660,918,
824,대현,2070,2090,917,코스피825위
825,쎌마테라퓨틱스,7430,7380,916,코스피826위
826,휴니드,6470,6490,913,코스피827위
827,동방아그로,6690,6650,911,코스피828위
828,KODEX 국고채3년,58070,58100,906,
829,TIGER 중장기국채,52320,52250,900,
830,대림B&Co,5380,5520,897,코스피831위
831,한국프랜지,2935,2945,894,코스피832위
832,비비안,3340,3400,893,코스피833위
833,한솔로지스틱스,3245,3175,892,코스피834위
834,사조씨푸드,5160,5150,888,코스피835위
835,부국철강,4420,4475,884,코스피836위
836,모나미,4665,4650,882,코스피837위
837,TIGER 미국S&P500레버리지(합성 H),24455,24320,880,
838,호전실업,11000,10650,880,코스피839위
839,지투알,5310,5370,880,코스피840위
840,페이퍼코리아,2345,2330,879,코스피841위
841,TIGER 유로스탁스50(합성 H),12425,12350,870,
